#,Project,Developer,Zone,Locality,MahaRERA Reg. No.,Possession,Poss. Month,Poss. Year,Configurations,Carpet Min (sqft),Carpet Max (sqft),Price Range (quoted),Price Min (Rs Cr),Price Max (Rs Cr),Units / Project Area,Status / Construction Notes,Date Confidence,Source,owner
17,ANP Ultimus,ANP Corp,West Pune / IT Belt,Wakad,P52100047835,Jun 2027,6,2027,"1, 2, 3 BHK",575,"1,233",70 L - 1.1 Cr,0.70,1.10,766 units / 4.15 ac,"9 towers, 34 floors; launched Nov 2022, well advanced",High,link,
18,Ganga Asmi (Wing 1),Goel Ganga Group,West Pune / IT Belt,Wakad,P52100027644; P52100034068,Jun 2027,6,2027,"2, 3 BHK",692,"1,009",80 L - 1.2 Cr,0.80,1.20,~560-603 units / 7 ac,"DATE CONFLICT: SquareYards RERA record shows Dec 2030, structure 26% (Mar 2025). Wing 2 = Dec 2028",Conflict,link,
19,RGS Forte,RGS Realty,West Pune / IT Belt,Wakad (Bhumkar Chowk),P52100034443,Mar 2027,3,2027,"2, 3 BHK",883,"1,067",1.06 - 1.28 Cr,1.06,1.28,160 units / 1.65 ac,"2 towers, 20 floors",High,link,
20,Kings County,Kings Marque Group,West Pune / IT Belt,Wakad,P52100055635,Dec 2027,12,2027,"2, 3, 4 BHK",600,"1,400",80 L - 1.95 Cr,0.80,1.95,,Under construction,Medium,link,
21,Koral Aeternaa,Koral Realty,West Pune / IT Belt,Wakad,,Dec 2027,12,2027,"2, 3 BHK",700,"1,200",80 L - 1.3 Cr,0.80,1.30,,RERA not located,Low,link,
22,Arbor Vista,AK Surana Developers,West Pune / IT Belt,Wakad,,Dec 2027,12,2027,"2, 3 BHK",655,"1,123",72.90 L+,0.73,0.73,,RERA not located,Low,link,
23,Raga Top Towers,Raga Developers,West Pune / IT Belt,Wakad,,Jul 2027,7,2027,"2, 3, 4 BHK",681,"1,039",On request,,,,RERA not located,Low,link,
24,Vilas Javdekar Indilife,Vilas Javdekar Developers,West Pune / IT Belt,Wakad,,Jun 2027,6,2027,1 RK,232,485,33.95 L,0.34,0.34,,Compact / studio-format investor product,Low,link,
25,Rohan Ekam (Phase 1),Rohan Builders,West Pune / IT Belt,Balewadi (riverside),P52100052298,Dec 2027,12,2027,"2, 3, 4 BHK",870,"2,160",1.2 - 3.1 Cr,1.20,3.10,~13 ac,"Genuinely UC - 28 of 34 floors launched, Alu-Form. Ph2/Ph3 run later",High,link,
26,Vilas Palladio Balewadi Central,Vilas Javdekar Eco Shelters,West Pune / IT Belt,Balewadi (nr High Street),P52100051590,Dec 2027,12,2027,"3, 4 BHK","1,125","1,620",1.7 - 2.43 Cr,1.70,2.43,196 units / 2.03 ac,"2 towers, 25 floors",High,link,
27,Majestique 27 Grand Residences,Majestique Landmarks,West Pune / IT Belt,Balewadi,P52100046445; P52100047314,Dec 2027,12,2027,"2, 3 BHK",821,"1,231",1.1 - 1.75 Cr,1.10,1.75,250 units / 2 ac,Tower 1 opened Apr 2022; under construction,High,link,
28,Nahar F Residences,Nahar Group,West Pune / IT Belt,Balewadi,P52100001179; P52100028283; P52100028165; P52100028925,Dec 2027,12,2027,2 BHK,"1,070","1,080",1.1 - 1.2 Cr,1.10,1.20,359 units / 8.59 ac,"4 towers, 24 floors, IGBC Platinum; 4 phase registrations - verify wing",Medium,link,
29,Platinum Marvelle,Platinum Buildcon,West Pune / IT Belt,Balewadi,P52100054345,Dec 2027,12,2027,"2, 3, 4 BHK",887,"1,711",1.15 - 2.22 Cr,1.15,2.22,69 units / 1.18 ac,Early stage,High,link,
30,The Balmoral Riverside,Kasturi Housing,West Pune / IT Belt,Balewadi,P52100028816; P52100028803,Jun 2027,6,2027,"3, 4 BHK","1,377","1,838",2.65 - 3.65 Cr,2.65,3.65,560 units / 11 ac,"4 towers, 36 floors",High,link,
31,Krisala 41 Westworld,Krisala Developers,West Pune / IT Belt,Balewadi,P52100055409,Jun 2027,6,2027,"1 RK, 1 BHK",180,350,19.8 - 38.5 L,0.20,0.39,46 units / 0.27 ac,Micro-unit / investor product,High,link,
32,Dream Glorious,Dream Works Reality,West Pune / IT Belt,Balewadi,,Jun 2027,6,2027,"2, 3 BHK",890,"1,290",1.0 - 1.5 Cr,1.00,1.50,,RERA not located,Low,link,
33,Perfect 10,Manav Group,West Pune / IT Belt,Balewadi,,Dec 2027,12,2027,2 BHK,440,590,65 - 75 L,0.65,0.75,,RERA not located,Low,link,
34,Kumar Parth Towers,Kumar Properties,West Pune / IT Belt,Baner (Mohan Nagar),P52100047987; P52100052945,Dec 2027,12,2027,"2, 3 BHK",557,"1,100",1.0 - 2.1 Cr,1.00,2.10,577 units / 2.5 ac,"3 towers, 25 floors",High,link,
35,Kumar Panache,Kumar Properties,West Pune / IT Belt,Baner (Pashan Rd),P52100077734,Dec 2027,12,2027,3 BHK,624,882,97 L - 1.37 Cr,0.97,1.37,60 units / 0.37 ac,"1 tower, 11 floors",High,link,
36,Rachana Bella Casa Royale,Rachana Lifestyle,West Pune / IT Belt,Baner (Mahalunge Rd),P52100047367; P52100027124,Dec 2027,12,2027,"2, 3 BHK","1,090","1,460",1.4 - 2.0 Cr,1.40,2.00,221 units,"2 towers, 21 floors",High,link,
37,Scon Pinewood,Scon Developers,West Pune / IT Belt,Baner (Pashan Highway),P52100055098,Dec 2027,12,2027,"2, 3 BHK",927,"1,358",1.1 - 1.61 Cr,1.10,1.61,56 units / 1.7 ac,"2 towers, 13 floors",High,link,
38,VJ Portia Grande,Vilas Javdekar,West Pune / IT Belt,Baner,,Dec 2027,12,2027,4 BHK,"1,730","1,740",3.9 - 4.0 Cr,3.90,4.00,,RERA not located,Low,link,
39,Virkar Seven,Virkar Developers,West Pune / IT Belt,Baner,,May 2027,5,2027,"3, 4 BHK","1,440","1,740",2.2 - 3.0 Cr,2.20,3.00,,RERA not located,Low,link,
40,Rohan Harita (Phase 1),Rohan Builders,West Pune / IT Belt,Tathawade,P52100052972,Dec 2027,12,2027,"1, 2, 3, 4 BHK",443,"1,740",49.9 L - 1.95 Cr,0.50,1.95,1150 units / 8.57 ac,Construction started Oct 2023; later phases run into 2028,High,link,
41,Sukhwani Sepia,Sukhwani Construction,West Pune / IT Belt,Tathawade,P52100017816; P52100050089,Dec 2027,12,2027,"2, 3 BHK","1,010","1,435",1.0 - 1.5 Cr,1.00,1.50,470 units / 7.81 ac,"9 towers, 12 floors; areas quoted super built-up",Medium,link,
42,Sukhwani 97 Sepia Phase 3,Sukhwani Constructions,West Pune / IT Belt,Tathawade,,Dec 2027,12,2027,"2, 3 BHK",568,911,83.31 L+,0.83,0.83,,Later phase of Sepia; RERA not located,Low,link,
43,Rama Metro Life Ultima,Rama Group,West Pune / IT Belt,Tathawade,P52100051679,Dec 2027,12,2027,"2, 3, 4 BHK",808,"1,369",1.0 - 1.8 Cr,1.00,1.80,172 units / 0.54 ac,"1 tower, 29 floors",High,link,
44,Merlin Elementa 2.0,Merlin Group,West Pune / IT Belt,Tathawade (nr Decathlon),P52100050199,Dec 2027,12,2027,"2, 3 BHK",630,"1,090",65 L - 1.2 Cr,0.65,1.20,339 units / 2.7 ac,Ghar.tv lists Dec 2026 - verify,Medium,link,
45,Siddhivinayak Vision New Ville,Siddhivinayak Group,West Pune / IT Belt,Tathawade (Bhumkar Chowk Rd),P52100050454,Dec 2027,12,2027,"2, 3 BHK",720,"1,024",70 L - 1.2 Cr,0.70,1.20,210 units / 2 ac,"2 towers, 14 floors",High,link,
46,Gawade Galore,Gawade Group,West Pune / IT Belt,Tathawade,P52100054930,Dec 2027,12,2027,"2, 3 BHK",786,994,80 L - 1.15 Cr,0.80,1.15,151 units / 0.9 ac,Near Sri Balaji University,High,link,
47,Garve 33 Central Avenue,Garve Group,West Pune / IT Belt,Tathawade,P52100056399,Dec 2027,12,2027,"2, 3 BHK",783,"1,094",88.9 L - 1.24 Cr,0.89,1.24,133 units / 0.55 ac,"1 tower, 28 floors",High,link,
48,Nirman Serenopolis,Nirman Greens,West Pune / IT Belt,Tathawade,P52100080004,Dec 2027,12,2027,"2, 3 BHK",777,921,90 L - 1.1 Cr,0.90,1.10,57 units / 0.94 ac,DATE CONFLICT: PCMC listings place this 2028-2030,Conflict,link,
49,Shree Sonigara Quorra,Shree Sonigara Developers,West Pune / IT Belt,Tathawade,PR1260002501552,Dec 2027,12,2027,"3, 4 BHK","1,545","1,909",1.55 - 1.95 Cr,1.55,1.95,18 units / 1.74 ac,2025 registration (new-format RERA ID),High,link,
50,Engineers Codename Promax,Engineers Horizon,West Pune / IT Belt,Tathawade,,Dec 2027,12,2027,"2, 3 BHK",780,"1,160",80.4 L - 1.19 Cr,0.80,1.19,204 units / 5.5 ac,Listed RERA-approved but number not published,Low,link,
51,Mahindra Happinest Tathawade,Mahindra Lifespaces,West Pune / IT Belt,Tathawade,,Jan 2027,1,2027,"1, 2 BHK",415,635,41.10 L+,0.41,0.41,,RERA not located on portal,Medium,link,
52,Abhinav Pebbles Greenfields,Abhinav Group,West Pune / IT Belt,Tathawade,,Jun 2027,6,2027,"2, 3 BHK",503,"1,041",66.21 L+,0.66,0.66,,RERA not located,Low,link,
53,Westmont,Shree Sonigara Gore Developers,West Pune / IT Belt,Tathawade,,May 2027,5,2027,3 BHK,841,877,87.42 L+,0.87,0.87,,RERA not located,Low,link,
54,Harivishva Infinia Phase 2,Harivishva Developers LLP,West Pune / IT Belt,Tathawade,,Dec 2027,12,2027,2 BHK,690,939,85.64 L+,0.86,0.86,,RERA not located,Low,link,
55,Krisala 41 Zillenia,Krisala Developers,West Pune / IT Belt,Punawale,P52100051790,Aug 2027,8,2027,"2, 3 BHK",711,904,79.9 L - 1.01 Cr,0.80,1.01,474 units / 1.89 ac,"3 towers, 24 floors",High,link,
56,Aishwaryam Future,Aishwaryam Group,West Pune / IT Belt,Punawale,P52100048742,Oct 2027,10,2027,"2, 2.5, 3 BHK",740,"1,000",70 L - 1.2 Cr,0.70,1.20,171 units / 3.04 ac,"Explicitly under construction; 5 towers, 20 floors",High,link,
57,Silveroak Shriyansh 3.0,Silveroak Group,West Pune / IT Belt,Punawale,P52100054165,Oct 2027,10,2027,"2, 3 BHK",605,819,54 - 73 L,0.54,0.73,57 units / 0.93 ac,"1 tower, 34 floors",High,link,
58,Nexus Skydale,Nexus Group,West Pune / IT Belt,Punawale,P52100055009,Dec 2027,12,2027,"2, 3, 4 BHK",680,"1,332",50 L - 1.2 Cr,0.50,1.20,650 units / 2.56 ac,"4 towers, 20 floors",High,link,
59,ANP Autograph,ANP Corp,West Pune / IT Belt,Punawale,P52100051641,Dec 2027,12,2027,"2, 3, 4 BHK",750,"1,596",90 L - 2.0 Cr,0.90,2.00,280 units / 4.5 ac,DATE CONFLICT: builder handover guidance says Jun 2028,Conflict,link,
60,Basil Maximus,Basil Group,West Pune / IT Belt,Punawale,P52100051323,Dec 2027,12,2027,"2, 3 BHK",749,"1,129",89 L - 1.34 Cr,0.89,1.34,1132 units / 6.37 ac,DATE CONFLICT: page notes expected Dec 2028; 10-tower project,Conflict,link,
61,Garve Codename Grandeur,Garve Group,West Pune / IT Belt,Punawale,,Dec 2027,12,2027,"2, 3 BHK",776,"1,053",66.8 - 90.6 L,0.67,0.91,620 units / 3.5 ac,Listed RERA-approved but number not published,Low,link,
62,Sacho Sai Mehar,Sacho Satram Group,West Pune / IT Belt,Punawale,,Dec 2027,12,2027,"1, 2 BHK",510,730,60 - 90 L,0.60,0.90,,RERA not located,Low,link,
63,Anika Piccadilly,Arun Sheth & Co,West Pune / IT Belt,Punawale,,Dec 2027,12,2027,"2, 3 BHK",760,780,70 - 80 L,0.70,0.80,,RERA not located,Low,link,
64,Prime Serenity,Prime Realty,West Pune / IT Belt,Punawale,,Dec 2027,12,2027,"2, 3 BHK",750,990,70 L - 1.0 Cr,0.70,1.00,,RERA not located,Low,link,
65,Nexus Westia,Nexus Group,West Pune / IT Belt,Punawale,,Jun 2027,6,2027,"2, 3 BHK",600,"1,000",60 L - 1.0 Cr,0.60,1.00,,RERA not located,Low,link,
66,Pharande Felicity,Pharande Spaces,West Pune / IT Belt,Ravet,P52100022300; P52100029557,Jun 2027,6,2027,"2, 2.5, 3 BHK",695,"1,050",59.5 L - 1.2 Cr,0.60,1.20,280 units / 3.5 ac,"6 towers, 12 floors; off Ravet BRTS. Cluster B also Jun 2027",High,link,
67,Urban Skyline,Urban Spaces Creators,West Pune / IT Belt,Ravet,P52100026499; P52100031043,Jun 2027,6,2027,"2, 3, 4, 6 BHK",774,"2,220",70 L - 2.1 Cr,0.70,2.10,720 units / 3.5 ac,"4 towers, ~40 floors; Aundh-Ravet BRTS",High,link,
68,Jhamtani ACE Atmosphere,Jhamtani Realty,West Pune / IT Belt,Ravet,,Sep 2027,9,2027,"2, 3 BHK",777,"1,027",73 L+,0.73,0.73,,RERA not located,Medium,link,
69,Space 64 Meridien Tower E,Space Builders Group,West Pune / IT Belt,Ravet,,Dec 2027,12,2027,"2, 3 BHK",815,"1,081",On request,,,,RERA not located,Low,link,
70,KK Marks (B Building),KK Group Infra Realty,West Pune / IT Belt,Ravet,,Jun 2027,6,2027,"1, 2 BHK",505,826,50 - 70 L,0.50,0.70,,RERA not located,Low,link,
71,Mohisha The Skylark Phase 2,Mohisha Realtors,West Pune / IT Belt,Ravet,,Jun 2027,6,2027,"2, 3 BHK",623,939,52.16 L+,0.52,0.52,,RERA not located,Low,link,
72,Saakshi Parva Anand,Saakshi Constructions,West Pune / IT Belt,Ravet,,Dec 2027,12,2027,2 BHK,606,640,On request,,,,RERA not located,Low,link,
73,Bivega The Silver Altair,Bivega Realty,West Pune / IT Belt,Ravet,,Jun 2027,6,2027,"2, 3 BHK",880,"1,150",90 L - 1.3 Cr,0.90,1.30,,RERA not located,Low,link,
74,Dolphin Palms,Dolphin Group,West Pune / IT Belt,Ravet,,Mar 2027,3,2027,2 BHK,750,880,70 - 90 L,0.70,0.90,,RERA not located,Low,link,
75,Goel Ganga Legend (Legend County),Goel Ganga Group,West Pune / IT Belt,Bavdhan,P52100021020; P52100024312,Dec 2027,12,2027,"2, 2.5, 3, 3.5 BHK",780,"1,240",80 L - 1.55 Cr,0.80,1.55,730 units / 30 ac township,"14 towers, 22 floors; later township phases beyond 2027",Medium,link,
76,Excellaa Prospera,Excellaa Group,West Pune / IT Belt,Bavdhan,P52100047444,Dec 2027,12,2027,3 BHK,"1,016","1,114",1.4 - 1.65 Cr,1.40,1.65,172 units / 1.35 ac,"3 towers, 21 floors",High,link,
77,Gera The Crown,Gera Developers,West Pune / IT Belt,Bavdhan,P52100011031,Apr 2027,4,2027,"3.5, 4.5 BHK","2,074","2,565",3.1 - 3.9 Cr,3.10,3.90,42 units / 0.32 ac,INCONSISTENT: listed as pre-launch (Mar 2026) with Apr 2027 completion - verify with Gera,Conflict,link,
78,Suyog The Peak,Suyog Group,West Pune / IT Belt,Bavdhan,,Mar 2027,3,2027,3 BHK,"1,300","1,400",1.4 - 1.5 Cr,1.40,1.50,,RERA not located,Low,link,
79,Dagade Patil Survi Heritage,Shree Dagade Patil Ventures,West Pune / IT Belt,Bavdhan,,Dec 2027,12,2027,"2, 3 BHK",600,"1,030",85 L - 1.25 Cr,0.85,1.25,,RERA not located,Low,link,
80,Belvalkar Aathesh,Belvalkar Housing,West Pune / IT Belt,Kothrud (Paud Rd),P52100054356,Dec 2027,12,2027,"2, 3 BHK",740,"1,030",90 L - 1.4 Cr,0.90,1.40,~52 units / 0.28 ac,"1 tower, 13 floors",High,link,
81,Gangotree Dashabhuja,Gangotree Homes,West Pune / IT Belt,Kothrud (nr Anand Nagar Metro),P52100052817,Dec 2027,12,2027,"1, 1.5, 2, 3 BHK",380,960,70 L - 1.78 Cr,0.70,1.78,98 units / 0.41 ac,"1 tower, 13 floors",High,link,
82,Gangotree Ganeshdeep,Gangotree Homes,West Pune / IT Belt,Kothrud,,Dec 2027,12,2027,"3, 4 BHK",950,"1,450",2.3 - 3.6 Cr,2.30,3.60,,RERA not located,Low,link,
83,D&T Ganeshbaug / Suchitra Terrace,D&T Properties,West Pune / IT Belt,Kothrud,,Dec 2027,12,2027,"2, 3, 4, 4.5 BHK",700,"2,200",1.0 - 3.0 Cr,1.00,3.00,,RERA not located,Low,link,
84,ULV Aspire,Urban Life Ventures,West Pune / IT Belt,Kothrud,,Dec 2027,12,2027,"1, 2, 3 BHK",470,"1,080",1.1 - 2.5 Cr,1.10,2.50,,RERA not located,Low,link,
85,Amanora City Rise,Amanora Group,West Pune / IT Belt,Kothrud,,Dec 2027,12,2027,"2, 3 BHK",685,"1,040",1.85 - 2.85 Cr,1.85,2.85,,RERA not located; unusual location for Amanora - verify,Low,link,
86,Kotibhaskar Aditya,Kotibhaskar Infrastructure,West Pune / IT Belt,Kothrud,,Oct 2027,10,2027,"2, 3 BHK",895,"1,350",1.8 - 2.9 Cr,1.80,2.90,,RERA not located,Low,link,
87,VTP Aethereus - Blue Waters,VTP Realty,West Pune / IT Belt,Mahalunge (Baner-Nande Rd),P52100026772,Dec 2026,12,2026,"2, 3 BHK",734,"1,025",1.1 - 1.7 Cr,1.10,1.70,1200 units / 9 ac,"5 towers, 31 floors; near completion",High,link,
88,Balaji Raanwa,Balaji Realty,West Pune / IT Belt,Mahalunge,P52100031416,Dec 2027,12,2027,"1, 2 BHK",555,868,55 - 90 L,0.55,0.90,150 units / 0.8 ac,"1 tower, 18 floors; National Games Park Rd",High,link,
89,45 Shashwat Urbano,Shashwat Realty,West Pune / IT Belt,Mahalunge,,Jun 2027,6,2027,1 RK,180,240,30 - 45 L,0.30,0.45,,Micro-unit product; RERA not located,Low,link,
90,Saarrthi Skybay 1,Saarrthi Group,West Pune / IT Belt,Mahalunge,,Dec 2026,12,2026,"1, 2, 3 BHK",490,"1,150",40 L - 1.1 Cr,0.40,1.10,,RERA not located,Low,link,
91,Saarrthi Skybay 3,Saarrthi Group,West Pune / IT Belt,Mahalunge,,Dec 2026,12,2026,"2, 3 BHK",740,"1,020",1.1 - 1.6 Cr,1.10,1.60,,RERA not located,Low,link,
92,Godrej Urban Retreat,Godrej Properties,East Pune,Kharadi (Kharadi-Manjari Rd),P52100050128,Oct 2027,10,2027,"2, 3 BHK",787,"1,007",90 L - 1.2 Cr,0.90,1.20,698 units / 3.47 ac,UC since Apr 2023; 3 towers. Date confirmed on two sources,High,link,
93,Lodha Estilo (P1/P2/P3),Lodha Group,East Pune,Kharadi,P52100078396; P52100052703; P52100054436,Oct 2027,10,2027,"3, 4 BHK","1,866","2,148",3.30 - 3.85 Cr,3.30,3.85,280 units / 3 ac,"Explicitly UC, ~50% structure as of Nov 2025",High,link,
94,SSPL The Strand,SSPL Group,East Pune,Kharadi (Riverfront Rd),P52100050923,Sep 2027,9,2027,"3, 4 BHK + duplex","1,330","2,460",3.6 - 6.8 Cr,3.60,6.80,136 units / 1.61 ac,"2 towers, 21 floors; ultra-luxury",High,link,
95,Vilas Palladio Kharadi Central,Vilas Javdekar Eco Shelters,East Pune,Kharadi,P52100050357,Jun 2027,6,2027,"3, 4 BHK",926,"1,315",1.35 - 1.92 Cr,1.35,1.92,500 units / 1.57 ac,HomeBazaar lists Dec 2028 for a same-name phase - verify wing,Medium,link,
96,VTP Euphoria - Pegasus,VTP Realty,East Pune,Kharadi / Manjri Khurd,P52100031691,Jun 2027,6,2027,"1, 2, 3 BHK",465,"1,455",50 L - 1.7 Cr,0.50,1.70,2400 units / 10 ac (165-ac township),2019-era registration - date likely revised,Medium,link,
97,Kohinoor Kaleido (Phase 1),Kohinoor Group,East Pune,Kharadi,P52100046027,Dec 2027,12,2027,"2, 3 BHK",696,990,1.26 - 1.79 Cr,1.26,1.79,832 units / 4.1 ac,6 towers; Phase 2 separate (Oct 2029),High,link,
98,Kumar Periwinkle,Kumar Properties,East Pune,Kharadi (Old Mundhwa Rd),P52100053409,Dec 2027,12,2027,"2, 3 BHK",688,930,81 L - 1.09 Cr,0.81,1.09,27 units / 0.18 ac,"Boutique tower, 9 floors",High,link,
99,Pristine Allure 1,Pristine Properties,East Pune,Kharadi,P52100045237,Dec 2027,12,2027,"2, 2.5 BHK",745,960,90 L - 1.3 Cr,0.90,1.30,624 units / 5.5 ac,"8 towers, 14 floors",High,link,
100,Pristine Allure 2 & 3,Pristine Properties,East Pune,Kharadi,P52100050873; P52100052693,Dec 2027,12,2027,"2, 2.5, 3 BHK",667,846,75 L - 1.05 Cr,0.75,1.05,312 units / 2.38 ac,Later phases of Allure 1,High,link,
101,Kumar 47 East,Kumar Properties,East Pune,Mundhwa (Hadapsar link),P52100024598,Mar 2027,3,2027,2 BHK,782,"1,012",90 L - 1.3 Cr,0.90,1.30,173 units / 1.72 ac,2019-era registration - date likely extended,Medium,link,
102,Unique Legacy Imperia,Unique Properties,East Pune,Mundhwa / Keshav Nagar,P52100053777,Mar 2027,3,2027,"1, 2, 3 BHK",627,978,67.4 L - 1.05 Cr,0.67,1.05,49 units / 0.76 ac,"Single tower, UC",High,link,
103,Choice Que 914,Choice Group,East Pune,Mundhwa,P52100051858; P52100046034,Jun 2027,6,2027,"2, 3 BHK",753,957,86.3 L - 1.09 Cr,0.86,1.09,474 units / 2.35 ac,"3 towers, 22 floors",High,link,
104,Moonlight Melliza Towers,Moonlight Housing Schemes,East Pune,Mundhwa,P52100052564,Jun 2027,6,2027,"2, 3 BHK","1,120","1,548",1.55 - 2.2 Cr,1.55,2.20,18 units / 1.05 ac,Unit count looks like partial inventory - verify,Medium,link,
105,Venkatesh Graffiti Glover,Shree Venkatesh Buildcon,East Pune,Keshav Nagar / Manjari Rd,P52100025621; P52100025956; P52100027217,Sep 2027,9,2027,2 BHK,776,776,70 - 80 L,0.70,0.80,437 units / 2.28 ac,2019-era registrations - extended completion date,Medium,link,
106,Ganga Avanta,Goel Ganga Developments,East Pune,Mundhwa (nr Magarpatta),P52100047366,Dec 2027,12,2027,"3, 3.5, 4 BHK",835,"1,189",1.16 - 1.66 Cr,1.16,1.66,179 units / 0.77 ac,"1 tower, 27 floors",High,link,
107,Sukhwani Hermosa Casa,Sukhwani Associates,East Pune,Mundhwa / Kirtane Baug,P52100022474,Dec 2027,12,2027,"2, 3 BHK",730,855,95.2 L - 1.03 Cr,0.95,1.03,831 units / 5.54 ac,2018-era registration; long-running project,Medium,link,
108,Tayal K City,Tayal Corp,East Pune,Mundhwa (Manjari Rd),P52100026909; P52100031361; P52100052901,Dec 2027,12,2027,"2, 3 BHK",755,987,84.6 L - 1.08 Cr,0.85,1.08,356 units / 4.5 ac,Multi-phase; earlier phases may be complete,Medium,link,
109,Tayal Envogue 1,Tayal Corp,East Pune,Mundhwa (Deccan Paper Mill Rd),P52100053239,Dec 2027,12,2027,"3, 4 BHK","1,446","1,953",2.11 - 2.85 Cr,2.11,2.85,271 units / 3.5 ac,"3 towers, 20 floors",High,link,
110,Lonkar Celestia,Lonkar Associate,East Pune,Mundhwa (nr Kharadi Rd),P52100077933,Dec 2027,12,2027,"1, 2 BHK",445,734,55 - 95 L,0.55,0.95,24 units / 0.33 ac,Recent registration - genuine new launch,High,link,
